OrderID;OrderDate;OrderPriority;OrderQuantity;Sales;ShipMode;ShippingCost;Province;CustomerSegment;ProductCategory;ProductSubCategory;ProductContainer;ShipDate
52711;9/23/2011;Not Specified;37;201.14;Regular Air;mar.37;Ontario;Home Office;Office Supplies;Rubber Bands;Wrap Bag;9/23/2011
22149;9/23/2011;Low;17;48.24;Regular Air;01.yan;Nova Scotia;Small Business;Office Supplies;Pens & Art Supplies;Wrap Bag;9/28/2011
58247;9/23/2011;Not Specified;14;92.07;Regular Air;iyl.86;British Columbia;Home Office;Office Supplies;Paper;Small Box;9/25/2011
58247;9/23/2011;Not Specified;8;1058.82;Regular Air;0.99;British Columbia;Home Office;Office Supplies;Appliances;Small Box;9/23/2011
52711;9/23/2011;Not Specified;7;220.79;Regular Air;4;New Brunswick;Home Office;Technology;Computer Peripherals;Small Box;9/25/2011
6086;9/22/2011;Critical;48;1734.72;Regular Air;19.99;Quebec;Corporate;Office Supplies;Paper;Small Box;9/24/2011
45606;9/22/2011;Medium;38;325.75;Regular Air;avq.54;Prince Edward Island;Corporate;Furniture;Office Furnishings;Small Pack;9/24/2011
2658;9/22/2011;Medium;34;229.51;Regular Air;sen.54;Yukon;Small Business;Office Supplies;Paper;Small Box;9/23/2011
2658;9/22/2011;Medium;32;473;Express Air;okt.68;Yukon;Small Business;Office Supplies;Storage & Organization;Small Box;9/22/2011
45606;9/22/2011;Medium;24;136.42;Regular Air;fev.27;Prince Edward Island;Corporate;Office Supplies;Pens & Art Supplies;Wrap Bag;9/23/2011
18593;9/22/2011;High;23;6572.04;Regular Air;iyl.18;Alberta;Corporate;Technology;Computer Peripherals;Small Box;9/23/2011
3363;9/22/2011;High;21;8185.89;Regular Air;noy.37;Ontario;Home Office;Office Supplies;Storage & Organization;Small Box;9/22/2011
18375;9/22/2011;Low;20;76.89;Regular Air;0.5;Quebec;Small Business;Office Supplies;Labels;Small Box;9/26/2011
18593;9/22/2011;High;19;1,051,992;Delivery Truck;89.3;Alberta;Corporate;Furniture;Tables;Jumbo Box;9/24/2011
41184;9/22/2011;High;7;120.03;Regular Air;noy.25;Northwest Territories;Home Office;Office Supplies;Storage & Organization;Small Box;9/24/2011
21188;9/21/2011;Critical;29;21046.74;Regular Air;24.49;Alberta;Small Business;Technology;Copiers and Fax;Large Box;9/23/2011
19462;9/20/2011;Medium;2;206.68;Regular Air;35;British Columbia;Home Office;Office Supplies;Storage & Organization;Large Box;9/21/2011
36708;9/19/2011;Not Specified;46;636.5;Regular Air;sen.44;Saskachewan;Corporate;Technology;Office Machines;Medium Box;9/21/2011
28992;9/19/2011;Critical;41;6863.95;Express Air;19.99;Quebec;Consumer;Office Supplies;Storage & Organization;Small Box;9/20/2011
22210;9/19/2011;Critical;37;1033.44;Regular Air;apr.86;New Brunswick;Corporate;Office Supplies;Paper;Wrap Bag;9/21/2011
36708;9/19/2011;Not Specified;25;26,143,705;Regular Air;iyl.69;Saskachewan;Corporate;Technology;Telephones and Communication;Small Box;9/21/2011
26787;9/19/2011;High;25;1119.91;Express Air;may.79;Manitoba;Small Business;Office Supplies;Paper;Small Box;9/21/2011
18852;9/19/2011;High;17;351.25;Express Air;may.97;Quebec;Small Business;Office Supplies;Paper;Small Box;9/21/2011
27715;9/19/2011;High;12;94.52;Regular Air;iyn.28;Yukon;Consumer;Office Supplies;Binders and Binder Accessories;Small Box;9/21/2011
55492;9/19/2011;Critical;10;1,124,244;Express Air;iyl.69;Quebec;Corporate;Technology;Telephones and Communication;Small Box;9/21/2011
1127;9/18/2011;Not Specified;48;5340.5;Regular Air;13.99;Ontario;Consumer;Furniture;Office Furnishings;Medium Box;9/19/2011
20071;9/17/2011;Medium;31;789.94;Delivery Truck;14.36;Northwest Territories;Home Office;Furniture;Chairs & Chairmats;Jumbo Drum;9/19/2011
47174;9/16/2011;Critical;42;642.1;Regular Air;iyl.51;Ontario;Corporate;Technology;Office Machines;Medium Box;9/16/2011
27781;9/15/2011;High;47;181.13;Regular Air;02.may;British Columbia;Small Business;Office Supplies;Envelopes;Small Box;9/17/2011
23078;9/15/2011;Medium;39;577.95;Regular Air;iyl.42;Nova Scotia;Consumer;Office Supplies;Scissors, Rulers and Trimmers;Small Pack;9/17/2011
26439;9/15/2011;Medium;38;1230.83;Regular Air;06.may;Saskachewan;Corporate;Technology;Computer Peripherals;Small Box;9/16/2011
32580;9/15/2011;High;38;261.38;Regular Air;avq.74;Ontario;Corporate;Office Supplies;Paper;Small Box;9/17/2011
26439;9/15/2011;Medium;37;169.93;Regular Air;may.74;Saskachewan;Corporate;Office Supplies;Paper;Small Box;9/15/2011
27589;9/15/2011;Medium;36;64.43;Regular Air;yan.49;Ontario;Corporate;Furniture;Tables;Jumbo Box;9/16/2011
17765;9/15/2011;Not Specified;36;79.02;Regular Air;06.may;Quebec;Small Business;Office Supplies;Binders and Binder Accessories;Small Box;9/15/2011
24705;9/15/2011;Critical;34;260.51;Regular Air;iyl.72;Alberta;Consumer;Office Supplies;Binders and Binder Accessories;Small Box;9/17/2011
17539;9/15/2011;Not Specified;28;381.79;Regular Air;5;Alberta;Consumer;Furniture;Office Furnishings;Small Pack;9/16/2011
27589;9/15/2011;Medium;25;467;Regular Air;avq.99;Ontario;Corporate;Furniture;Office Furnishings;Small Pack;9/16/2011
26439;9/15/2011;Medium;23;1,176,944;Regular Air;apr.99;Saskachewan;Corporate;Technology;Telephones and Communication;Small Box;9/17/2011
32580;9/15/2011;High;23;166.8;Regular Air;yan.71;Ontario;Corporate;Office Supplies;Paper;Wrap Bag;9/15/2011
5958;9/15/2011;Medium;21;2,629,664;Delivery Truck;60;Yukon;Small Business;Furniture;Tables;Jumbo Drum;9/15/2011
27589;9/15/2011;Medium;20;845.7;Express Air;yan.99;Ontario;Corporate;Technology;Computer Peripherals;Small Pack;9/17/2011
23078;9/15/2011;Medium;18;168.95;Regular Air;may.76;Newfoundland;Consumer;Office Supplies;Envelopes;Small Box;9/15/2011
18273;9/15/2011;Low;18;925.03;Regular Air;19.99;Prince Edward Island;Corporate;Technology;Computer Peripherals;Small Box;9/17/2011
24705;9/15/2011;Critical;15;466.28;Regular Air;yan.99;Alberta;Consumer;Technology;Computer Peripherals;Small Pack;9/17/2011
17539;9/15/2011;Not Specified;10;15,293,115;Regular Air;avq.99;Alberta;Consumer;Technology;Telephones and Communication;Small Box;9/16/2011
23078;9/15/2011;Medium;8;342.27;Regular Air;19.99;Nova Scotia;Consumer;Office Supplies;Paper;Small Box;9/17/2011
5958;9/15/2011;Medium;3;2036.97;Regular Air;24.49;Yukon;Small Business;Technology;Copiers and Fax;Large Box;9/17/2011
27271;9/14/2011;Not Specified;8;301.57;Delivery Truck;19.19;Quebec;Corporate;Furniture;Chairs & Chairmats;Jumbo Drum;9/15/2011
17283;9/14/2011;Not Specified;4;5472.12;Delivery Truck;14.iyl;Northwest Territories;Home Office;Technology;Office Machines;Jumbo Drum;9/15/2011
30659;9/13/2011;Critical;45;31,167,715;Regular Air;0.99;British Columbia;Corporate;Technology;Telephones and Communication;Wrap Bag;9/15/2011
40871;9/13/2011;Not Specified;32;294.04;Regular Air;05.iyn;Prince Edward Island;Corporate;Office Supplies;Binders and Binder Accessories;Small Box;9/15/2011
39331;9/13/2011;High;23;149.4;Express Air;avq.49;Manitoba;Home Office;Office Supplies;Binders and Binder Accessories;Small Box;9/14/2011
40871;9/13/2011;Not Specified;18;2022.65;Delivery Truck;30;Prince Edward Island;Corporate;Furniture;Chairs & Chairmats;Jumbo Drum;9/15/2011
4676;8/31/2011;High;50;187.83;Regular Air;0.5;Nunavut;Home Office;Office Supplies;Labels;Small Box;09.02.2011
6337;8/31/2011;Not Specified;48;3397.72;Regular Air;37.58;British Columbia;Corporate;Furniture;Office Furnishings;Wrap Bag;09.02.2011
34596;8/31/2011;Critical;39;302.09;Regular Air;iyn.16;New Brunswick;Consumer;Office Supplies;Binders and Binder Accessories;Small Box;09.01.2011
4676;8/31/2011;High;30;4,253,009;Regular Air;avq.99;Nunavut;Home Office;Technology;Telephones and Communication;Small Box;09.01.2011
57799;8/31/2011;High;25;12343.07;Delivery Truck;69.3;Saskachewan;Consumer;Technology;Office Machines;Jumbo Drum;09.02.2011
4676;8/31/2011;High;11;12,100,515;Regular Air;iyl.69;Nunavut;Home Office;Technology;Telephones and Communication;Small Box;09.01.2011
4676;8/31/2011;High;3;49.59;Express Air;iyn.47;Nunavut;Home Office;Office Supplies;Paper;Small Box;09.02.2011
6337;8/31/2011;Not Specified;1;449.42;Delivery Truck;85.63;British Columbia;Corporate;Furniture;Tables;Jumbo Box;09.01.2011
49828;8/30/2011;Medium;39;272.39;Express Air;06.iyn;Manitoba;Consumer;Office Supplies;Paper;Small Box;8/31/2011
36679;8/30/2011;Critical;28;14,918,265;Regular Air;avq.99;Ontario;Corporate;Technology;Telephones and Communication;Small Box;09.02.2011
11233;8/30/2011;Not Specified;25;276.5;Regular Air;04.avq;Ontario;Corporate;Office Supplies;Envelopes;Small Box;09.01.2011
38561;8/30/2011;Critical;19;169.4;Regular Air;iyl.29;Saskachewan;Home Office;Furniture;Office Furnishings;Small Pack;09.01.2011
6336;8/28/2011;High;43;320.26;Express Air;06.may;Saskachewan;Home Office;Office Supplies;Binders and Binder Accessories;Small Box;8/30/2011
54914;8/28/2011;Critical;32;197.93;Regular Air;may.46;Ontario;Small Business;Office Supplies;Paper;Small Box;8/29/2011
48709;8/28/2011;High;17;47.12;Regular Air;apr.28;British Columbia;Corporate;Office Supplies;Pens & Art Supplies;Wrap Bag;8/30/2011
54914;8/28/2011;Critical;7;90.58;Regular Air;iyn.27;Ontario;Small Business;Office Supplies;Storage & Organization;Medium Box;8/30/2011
8391;8/28/2011;High;4;1266.72;Delivery Truck;64.73;Nunavut;Corporate;Furniture;Chairs & Chairmats;Jumbo Drum;8/29/2011
30276;8/26/2011;Low;44;1,453,704;Regular Air;01.yan;Quebec;Corporate;Technology;Telephones and Communication;Small Box;8/30/2011
17924;8/26/2011;Critical;42;2507.48;Regular Air;04.may;Saskachewan;Consumer;Office Supplies;Appliances;Small Box;8/26/2011
53767;8/26/2011;Not Specified;35;1131.15;Regular Air;may.76;Alberta;Small Business;Office Supplies;Paper;Small Box;8/27/2011
30276;8/26/2011;Low;34;7,656,304;Delivery Truck;54.12;Quebec;Corporate;Furniture;Tables;Jumbo Box;8/30/2011
39169;8/26/2011;Medium;5;24.91;Regular Air;0.71;Quebec;Home Office;Office Supplies;Pens & Art Supplies;Wrap Bag;8/27/2011
49319;8/25/2011;Low;40;289.19;Regular Air;iyn.15;Saskachewan;Corporate;Office Supplies;Paper;Small Box;8/27/2011
45861;8/25/2011;Medium;39;6,808,585;Regular Air;0.99;Northwest Territories;Small Business;Technology;Telephones and Communication;Wrap Bag;8/25/2011
5153;8/25/2011;Critical;37;4896.93;Express Air;dek.65;Prince Edward Island;Home Office;Furniture;Chairs & Chairmats;Medium Box;8/27/2011
15622;8/25/2011;High;34;8581.25;Delivery Truck;60.2;British Columbia;Consumer;Furniture;Bookcases;Jumbo Box;8/26/2011
36676;8/25/2011;Not Specified;32;3046.01;Delivery Truck;14;Saskachewan;Corporate;Technology;Office Machines;Jumbo Drum;8/27/2011
15622;8/25/2011;High;21;135.99;Regular Air;sen.68;British Columbia;Consumer;Office Supplies;Paper;Small Box;8/26/2011
36676;8/25/2011;Not Specified;15;353.52;Regular Air;avq.18;Saskachewan;Corporate;Office Supplies;Paper;Small Box;8/26/2011
49319;8/25/2011;Low;13;98.82;Regular Air;may.53;Saskachewan;Corporate;Technology;Computer Peripherals;Small Pack;8/27/2011
56640;8/25/2011;High;11;80.26;Regular Air;may.66;British Columbia;Corporate;Office Supplies;Paper;Small Box;8/26/2011
56640;8/25/2011;High;2;29.31;Regular Air;may.43;British Columbia;Corporate;Office Supplies;Paper;Small Box;8/26/2011
55202;8/24/2011;Low;49;63,358,575;Regular Air;avq.99;Ontario;Small Business;Technology;Telephones and Communication;Small Box;8/31/2011
51302;8/24/2011;Not Specified;44;167.55;Regular Air;07.may;Manitoba;Consumer;Office Supplies;Labels;Small Box;8/26/2011
55202;8/24/2011;Low;33;3093.76;Express Air;35;Quebec;Small Business;Office Supplies;Storage & Organization;Large Box;8/26/2011
58566;8/23/2011;Not Specified;45;4680.89;Regular Air;10.dek;Alberta;Consumer;Furniture;Office Furnishings;Large Box;8/24/2011
43302;8/23/2011;Low;43;720,613;Regular Air;0.99;Nova Scotia;Corporate;Technology;Telephones and Communication;Wrap Bag;09.01.2011
58566;8/23/2011;Not Specified;42;24,149,945;Express Air;apr.99;Alberta;Consumer;Technology;Telephones and Communication;Small Box;8/25/2011
43302;8/23/2011;Low;39;68,886,635;Regular Air;5;Nova Scotia;Corporate;Technology;Telephones and Communication;Small Box;8/30/2011
53189;8/23/2011;Critical;29;214.19;Express Air;may.94;British Columbia;Corporate;Office Supplies;Paper;Small Box;8/23/2011
28545;8/23/2011;High;15;5296.19;Regular Air;19.99;Saskachewan;Home Office;Office Supplies;Appliances;Small Box;8/24/2011
43302;8/23/2011;Low;4;avq.87;Regular Air;yan.63;Newfoundland;Corporate;Office Supplies;Pens & Art Supplies;Wrap Bag;09.01.2011
58598;8/22/2011;Medium;50;13608.83;Delivery Truck;64.73;Ontario;Home Office;Furniture;Chairs & Chairmats;Jumbo Drum;8/23/2011
58598;8/22/2011;Medium;25;89.32;Regular Air;0.7;Ontario;Home Office;Office Supplies;Rubber Bands;Wrap Bag;8/23/2011
46531;8/21/2011;Low;39;4211;Regular Air;69;Nova Scotia;Consumer;Furniture;Tables;Large Box;8/28/2011
17445;8/21/2011;Not Specified;33;249.48;Regular Air;fev.38;Alberta;Small Business;Technology;Computer Peripherals;Small Pack;8/24/2011
1095;8/21/2011;Medium;28;142.18;Regular Air;apr.72;Yukon;Consumer;Office Supplies;Paper;Small Box;8/23/2011
45381;8/21/2011;Medium;26;164.1;Express Air;05.yan;Nova Scotia;Small Business;Office Supplies;Binders and Binder Accessories;Small Box;8/22/2011
2882;8/21/2011;High;23;3872.87;Delivery Truck;30;Alberta;Consumer;Furniture;Chairs & Chairmats;Jumbo Drum;8/23/2011
45381;8/21/2011;Medium;23;1316.87;Express Air;05.may;Nova Scotia;Small Business;Technology;Computer Peripherals;Small Box;8/23/2011
46531;8/21/2011;Low;23;84.47;Regular Air;yan.49;Quebec;Consumer;Office Supplies;Binders and Binder Accessories;Small Box;8/21/2011
46531;8/21/2011;Low;17;3,064,658;Regular Air;fev.79;Quebec;Consumer;Technology;Telephones and Communication;Small Box;8/26/2011
2882;8/21/2011;High;9;356.72;Regular Air;yan.99;Alberta;Consumer;Technology;Computer Peripherals;Small Pack;8/22/2011
46531;8/21/2011;Low;2;19.34;Regular Air;06.may;Ontario;Consumer;Office Supplies;Binders and Binder Accessories;Small Box;8/30/2011
45381;8/21/2011;Medium;1;noy.81;Regular Air;may.57;Nova Scotia;Small Business;Furniture;Office Furnishings;Small Box;8/23/2011
24899;8/20/2011;Not Specified;37;252.99;Regular Air;fev.35;Manitoba;Home Office;Office Supplies;Pens & Art Supplies;Wrap Bag;8/22/2011
6502;8/20/2011;Medium;30;306.92;Regular Air;05.dek;Ontario;Home Office;Office Supplies;Paper;Small Box;8/23/2011
448;8/20/2011;Medium;22;11,624,005;Regular Air;19.99;Yukon;Corporate;Technology;Telephones and Communication;Small Box;8/22/2011
51008;8/20/2011;High;20;269.66;Regular Air;apr.59;Quebec;Consumer;Office Supplies;Scissors, Rulers and Trimmers;Wrap Bag;8/22/2011
6502;8/20/2011;Medium;16;116.11;Express Air;may.83;Ontario;Home Office;Office Supplies;Paper;Wrap Bag;8/20/2011
8901;8/20/2011;Low;15;168.9;Express Air;iyn.24;Yukon;Consumer;Technology;Office Machines;Medium Box;8/27/2011
31648;8/20/2011;High;10;74.04;Regular Air;07.mar;Saskachewan;Home Office;Office Supplies;Paper;Small Box;8/22/2011
31648;8/20/2011;High;8;68.94;Regular Air;fev.38;Saskachewan;Home Office;Technology;Computer Peripherals;Small Pack;8/20/2011
36133;8/20/2011;Medium;6;128.56;Regular Air;avq.68;Ontario;Consumer;Office Supplies;Paper;Small Box;8/21/2011
16967;8/19/2011;Low;34;676.26;Regular Air;may.77;Nova Scotia;Corporate;Office Supplies;Paper;Small Box;8/19/2011
1639;8/19/2011;Not Specified;24;163.14;Regular Air;iyn.18;Ontario;Home Office;Office Supplies;Paper;Small Box;8/20/2011
10791;8/19/2011;Not Specified;20;400.57;Regular Air;may.77;Northwest Territories;Small Business;Office Supplies;Paper;Small Box;8/21/2011
16967;8/19/2011;Low;5;397.55;Regular Air;iyn.13;Nova Scotia;Corporate;Technology;Computer Peripherals;Small Box;8/21/2011
8768;8/18/2011;High;44;24,224,405;Regular Air;may.31;Alberta;Small Business;Technology;Telephones and Communication;Small Box;8/19/2011
43424;8/18/2011;Not Specified;34;772.56;Express Air;04.may;Ontario;Home Office;Office Supplies;Appliances;Small Box;8/20/2011
33604;8/18/2011;High;10;59.62;Regular Air;iyl.78;British Columbia;Corporate;Office Supplies;Binders and Binder Accessories;Small Box;8/20/2011
13381;8/17/2011;Medium;41;10714.78;Delivery Truck;66.67;Quebec;Consumer;Furniture;Tables;Jumbo Box;8/17/2011
38466;8/17/2011;Critical;37;111.37;Regular Air;0.5;Ontario;Corporate;Office Supplies;Labels;Small Box;8/19/2011
38466;8/17/2011;Critical;22;136.18;Regular Air;may.46;Ontario;Corporate;Office Supplies;Paper;Small Box;8/18/2011
38466;8/17/2011;Critical;15;105.48;Regular Air;iyl.37;Ontario;Corporate;Office Supplies;Paper;Small Box;8/18/2011
17253;8/17/2011;Critical;13;50.19;Regular Air;iyn.83;Alberta;Corporate;Office Supplies;Binders and Binder Accessories;Small Box;8/19/2011
42373;8/17/2011;Not Specified;11;127.32;Express Air;fev.99;New Brunswick;Consumer;Office Supplies;Binders and Binder Accessories;Small Box;8/18/2011
47459;8/17/2011;Not Specified;10;197.21;Regular Air;yan.49;Ontario;Home Office;Office Supplies;Binders and Binder Accessories;Small Box;8/18/2011
9927;8/16/2011;High;44;10087.6;Regular Air;18.iyn;Northwest Territories;Corporate;Furniture;Chairs & Chairmats;Large Box;8/17/2011
9927;8/16/2011;High;34;1608.08;Express Air;06.may;Northwest Territories;Corporate;Technology;Computer Peripherals;Small Box;8/17/2011
9927;8/16/2011;High;32;4655.07;Delivery Truck;53.48;Northwest Territories;Corporate;Furniture;Bookcases;Jumbo Box;8/17/2011
49409;8/16/2011;High;28;1457.78;Regular Air;19.99;Manitoba;Consumer;Technology;Computer Peripherals;Small Box;8/17/2011
14247;8/16/2011;Critical;4;14.75;Regular Air;yan.35;Ontario;Home Office;Office Supplies;Rubber Bands;Wrap Bag;8/18/2011
1414;8/15/2011;Critical;44;4530.96;Delivery Truck;41.64;British Columbia;Small Business;Furniture;Tables;Jumbo Box;8/15/2011
54659;8/15/2011;High;38;262.9;Regular Air;05.fev;Quebec;Corporate;Office Supplies;Paper;Small Box;8/15/2011
28674;8/15/2011;High;26;161.96;Regular Air;may.67;Saskachewan;Home Office;Office Supplies;Paper;Small Box;8/16/2011
56580;8/14/2011;Not Specified;44;950.3;Delivery Truck;53.03;Ontario;Consumer;Office Supplies;Storage & Organization;Jumbo Drum;8/16/2011
56580;8/14/2011;Not Specified;29;8122.53;Delivery Truck;61.76;Ontario;Consumer;Furniture;Tables;Jumbo Box;8/16/2011
17379;8/14/2011;Critical;29;3218.42;Delivery Truck;58.72;Ontario;Consumer;Furniture;Bookcases;Jumbo Box;8/16/2011
56580;8/14/2011;Not Specified;9;73.05;Regular Air;apr.82;Ontario;Consumer;Office Supplies;Paper;Small Box;8/14/2011
47810;8/14/2011;Critical;3;19.57;Regular Air;01.fev;New Brunswick;Home Office;Office Supplies;Pens & Art Supplies;Wrap Bag;8/15/2011
9763;8/13/2011;Medium;44;176.26;Regular Air;0.5;Northwest Territories;Corporate;Office Supplies;Labels;Small Box;8/16/2011
49220;8/13/2011;Critical;13;409.97;Regular Air;03.may;Manitoba;Corporate;Office Supplies;Appliances;Small Box;8/14/2011
31846;8/13/2011;Critical;7;261.17;Delivery Truck;19.19;Quebec;Home Office;Furniture;Chairs & Chairmats;Jumbo Drum;8/15/2011
31812;7/31/2011;High;31;38.52;Regular Air;0.7;Ontario;Small Business;Office Supplies;Rubber Bands;Wrap Bag;08.02.2011
33377;7/31/2011;High;20;100.4;Regular Air;02.apr;Northwest Territories;Corporate;Office Supplies;Paper;Wrap Bag;08.02.2011
33377;7/31/2011;High;19;327.15;Regular Air;mar.26;Northwest Territories;Corporate;Office Supplies;Scissors, Rulers and Trimmers;Small Pack;08.01.2011
31812;7/31/2011;High;14;593.62;Regular Air;19.99;Ontario;Small Business;Office Supplies;Paper;Small Box;08.02.2011
23202;7/30/2011;High;48;608.29;Regular Air;may.81;Ontario;Small Business;Office Supplies;Pens & Art Supplies;Small Pack;08.01.2011
54279;7/30/2011;High;41;10071.09;Delivery Truck;17.86;Alberta;Corporate;Technology;Office Machines;Jumbo Drum;7/31/2011
9574;7/30/2011;Medium;40;434.62;Regular Air;iyl.19;Prince Edward Island;Corporate;Office Supplies;Binders and Binder Accessories;Small Box;7/31/2011
23202;7/30/2011;High;39;307.42;Regular Air;yan.69;Ontario;Small Business;Office Supplies;Paper;Wrap Bag;08.01.2011
46305;7/30/2011;Low;30;299.66;Regular Air;may.75;Manitoba;Consumer;Office Supplies;Binders and Binder Accessories;Small Box;08.03.2011
56838;7/29/2011;Critical;44;4326.27;Regular Air;iyl.18;Saskachewan;Corporate;Technology;Computer Peripherals;Small Box;7/30/2011
46336;7/29/2011;High;31;143.85;Regular Air;0.71;Alberta;Consumer;Office Supplies;Pens & Art Supplies;Wrap Bag;7/31/2011
31237;7/29/2011;Not Specified;13;589.78;Regular Air;fev.99;Alberta;Small Business;Office Supplies;Binders and Binder Accessories;Small Box;7/29/2011
3362;7/28/2011;Low;50;760.85;Regular Air;apr.53;British Columbia;Small Business;Office Supplies;Storage & Organization;Small Box;08.06.2011
47271;7/28/2011;Medium;44;221.42;Regular Air;apr.62;New Brunswick;Corporate;Technology;Computer Peripherals;Small Pack;7/29/2011
3362;7/28/2011;Low;40;1699.52;Regular Air;yan.99;British Columbia;Small Business;Technology;Computer Peripherals;Small Pack;08.01.2011
21089;7/28/2011;Medium;4;559.75;Delivery Truck;70.2;Ontario;Corporate;Furniture;Chairs & Chairmats;Jumbo Drum;7/30/2011
31938;7/27/2011;Medium;47;363.23;Regular Air;4;British Columbia;Consumer;Furniture;Office Furnishings;Wrap Bag;7/29/2011
49479;7/27/2011;Medium;46;5615.4;Delivery Truck;26.mar;Manitoba;Consumer;Technology;Office Machines;Jumbo Drum;7/29/2011
